metric_name,iteration,difficulty,duration_ns
TransactionValidation,449,2,93.518µs
TransactionValidation,450,2,108.394µs
TransactionValidation,451,2,96.94µs
TransactionValidation,452,2,94.286µs
TransactionValidation,453,2,93.867µs
TransactionValidation,454,2,93.867µs
TransactionValidation,455,2,94.425µs
TransactionValidation,456,2,102.807µs
TransactionValidation,457,2,94.007µs
TransactionValidation,458,2,92.82µs
TransactionValidation,459,2,99.943µs
TransactionValidation,460,2,94.007µs
TransactionValidation,461,2,112.724µs
TransactionValidation,462,2,102.667µs
TransactionValidation,463,2,92.889µs
TransactionValidation,464,2,92.051µs
TransactionValidation,465,2,92.47µs
TransactionValidation,466,2,97.149µs
TransactionValidation,467,2,100.223µs
TransactionValidation,468,2,100.572µs
TransactionValidation,469,2,147.296µs
TransactionValidation,470,2,97.638µs
TransactionValidation,471,2,92.051µs
TransactionValidation,472,2,93.797µs
TransactionValidation,473,2,97.848µs
TransactionValidation,474,2,96.8µs
TransactionValidation,475,2,92.051µs
TransactionValidation,476,2,96.381µs
TransactionValidation,477,2,114.47µs
TransactionValidation,478,2,99.315µs
TransactionValidation,479,2,102.318µs
TransactionValidation,480,2,92.54µs
TransactionValidation,481,2,93.448µs
TransactionValidation,482,2,92.191µs
TransactionValidation,483,2,92.819µs
TransactionValidation,484,2,93.448µs
TransactionValidation,485,2,92.121µs
TransactionValidation,486,2,93.238µs
TransactionValidation,487,2,136.052µs
TransactionValidation,488,2,108.813µs
TransactionValidation,489,2,151.347µs
TransactionValidation,490,2,154µs
TransactionValidation,491,2,169.016µs
TransactionValidation,492,2,120.058µs
TransactionValidation,493,2,123.27µs
TransactionValidation,494,2,94.356µs
TransactionValidation,495,2,115.238µs
TransactionValidation,496,2,93.867µs
TransactionValidation,497,2,93.448µs
TransactionValidation,498,2,93.378µs
TransactionValidation,499,2,94.496µs
TransactionValidation,500,2,92.959µs
TransactionValidation,501,2,101.48µs
TransactionValidation,502,2,96.8µs
TransactionValidation,503,2,92.82µs
TransactionValidation,504,2,97.779µs
TransactionValidation,505,2,99.036µs
TransactionValidation,506,2,100.571µs
TransactionValidation,507,2,99.664µs
TransactionValidation,508,2,93.168µs
TransactionValidation,509,2,93.587µs
TransactionValidation,510,2,101.689µs
TransactionValidation,511,2,107.416µs
TransactionValidation,512,2,102.597µs
TransactionValidation,513,2,97.289µs
TransactionValidation,514,2,93.448µs
TransactionValidation,515,2,97.359µs
TransactionValidation,516,2,115.518µs
TransactionValidation,517,2,100.712µs
TransactionValidation,518,2,99.035µs
TransactionValidation,519,2,99.734µs
TransactionValidation,520,2,143.455µs
TransactionValidation,521,2,97.289µs
TransactionValidation,522,2,94.425µs
TransactionValidation,523,2,96.661µs
TransactionValidation,524,2,94.426µs
TransactionValidation,525,2,94.356µs
TransactionValidation,526,2,93.029µs
TransactionValidation,527,2,93.727µs
TransactionValidation,528,2,98.756µs
TransactionValidation,529,2,102.458µs
TransactionValidation,530,2,93.448µs
TransactionValidation,531,2,92.889µs
TransactionValidation,532,2,107.277µs
TransactionValidation,533,2,102.317µs
TransactionValidation,534,2,106.368µs
TransactionValidation,535,2,98.197µs
TransactionValidation,536,2,97.778µs
TransactionValidation,537,2,106.858µs
TransactionValidation,538,2,93.517µs
TransactionValidation,539,2,93.518µs
TransactionValidation,540,2,148.763µs
TransactionValidation,541,2,95.124µs
TransactionValidation,542,2,105.74µs
TransactionValidation,543,2,98.197µs
TransactionValidation,544,2,502.719µs
TransactionValidation,545,2,308.769µs
TransactionValidation,546,2,207.988µs
TransactionValidation,547,2,291.239µs
TransactionValidation,548,2,289.633µs
TransactionValidation,549,2,240.743µs
TransactionValidation,550,2,234.039µs
TransactionValidation,551,2,211.55µs
TransactionValidation,552,2,207.639µs
TransactionValidation,553,2,229.708µs
TransactionValidation,554,2,212.109µs
TransactionValidation,555,2,230.477µs
TransactionValidation,556,2,210.083µs
TransactionValidation,557,2,258.064µs
TransactionValidation,558,2,300.528µs
TransactionValidation,559,2,380.357µs
TransactionValidation,560,2,342.642µs
TransactionValidation,561,2,330.21µs
TransactionValidation,562,2,216.788µs
TransactionValidation,563,2,139.823µs
TransactionValidation,564,2,129.765µs
TransactionValidation,565,2,136.75µs
TransactionValidation,566,2,135.493µs
TransactionValidation,567,2,129.347µs
TransactionValidation,568,2,122.223µs
TransactionValidation,569,2,117.194µs
TransactionValidation,570,2,120.267µs
TransactionValidation,571,2,123.27µs
TransactionValidation,572,2,103.505µs
TransactionValidation,573,2,99.804µs
TransactionValidation,574,2,108.604µs
TransactionValidation,575,2,117.194µs
TransactionValidation,576,2,91.702µs
TransactionValidation,577,2,94.705µs
TransactionValidation,578,2,92.47µs
TransactionValidation,579,2,94.705µs
TransactionValidation,580,2,110.629µs
TransactionValidation,581,2,95.404µs
TransactionValidation,582,2,94.915µs
TransactionValidation,583,2,94.217µs
TransactionValidation,584,2,93.937µs
TransactionValidation,585,2,93.029µs
TransactionValidation,586,2,115.937µs
TransactionValidation,587,2,97.639µs
TransactionValidation,588,2,98.197µs
TransactionValidation,589,2,92.959µs
TransactionValidation,590,2,104.622µs
TransactionValidation,591,2,95.264µs
TransactionValidation,592,2,93.937µs
TransactionValidation,593,2,102.108µs
TransactionValidation,594,2,129.835µs
TransactionValidation,595,2,95.613µs
TransactionValidation,596,2,97.708µs
TransactionValidation,597,2,92.959µs
TransactionValidation,598,2,98.826µs
TransactionValidation,599,2,93.937µs
TransactionValidation,600,2,94.915µs
TransactionValidation,601,2,112.864µs
TransactionValidation,602,2,96.172µs
TransactionValidation,603,2,94.915µs
TransactionValidation,604,2,92.889µs
TransactionValidation,605,2,95.404µs
TransactionValidation,606,2,94.845µs
TransactionValidation,607,2,93.517µs
TransactionValidation,608,2,96.661µs
TransactionValidation,609,2,99.525µs
TransactionValidation,610,2,95.404µs
TransactionValidation,611,2,94.914µs
TransactionValidation,612,2,95.963µs
